Label,Number of Clusters,f (allowed faults),N (total nodes),Filesize (MB),Disk Profile,Store Time (ms),Fetch Time (ms),Group
P(1),1,1,3,100,Slow,1826,486,X
P(2),1,2,5,100,Slow,1828,485,Y
P(3),1,3,7,100,Slow,1830,485,Z
"PR(2,1)",2,1,6,100,Slow,1830,488,1
"PR(2,2)",2,2,10,100,Slow,1834,488,2
"PR(3,1)",3,1,9,100,Slow,917,245,1
"PR(4,1)",4,1,12,100,Slow,638,176,1
"PR(5,1)",5,1,15,100,Slow,478.55,135.49,1
"PR(5,2)",5,2,25,100,Slow,499.37,142.31,2
"PR(6,1)",6,1,18,100,Slow,403.37,115.78,1
"PR(6,2)",6,2,30,100,Slow,405.598,123.45,2
P(14),1,14,29,100,Slow,1903.4,524.2,A
